Algorithm,Kernel PCA,0.2 Accuracy,0.2 Precision,0.2 Recall,0.2 F1 score,0.4 Accuracy,0.4 Precision,0.4 Recall,0.4 F1 score,0.6 Accuracy,0.6 Precision,0.6 Recall,0.6 F1 score
LDA,RBF,0.7947,0.6316,0.7947,0.7038,0.7948,0.6361,0.7948,0.7039,0.7947,0.6316,0.7947,0.7038
LDA,Sigmoid,0.7947,0.6316,0.7947,0.7038,0.7947,0.6316,0.7947,0.7038,0.7947,0.6316,0.7947,0.7038
LDA,Linear,0.8411,0.8186,0.8411,0.8297,0.8657,0.8367,0.8657,0.8503,0.8382,0.8171,0.8382,0.8273
LDA,Polynomial,0.8791,0.8648,0.8791,0.8640,0.8814,0.8522,0.8814,0.8639,0.8095,0.7662,0.8095,0.7612
LDA,Cosine,0.7996,0.7464,0.7996,0.7601,0.8433,0.8163,0.8433,0.8294,0.7952,0.7933,0.7952,0.7050
QDA,RBF,0.7947,0.6316,0.7947,0.7038,0.7947,0.6316,0.7947,0.7038,0.7947,0.6316,0.7947,0.7038
QDA,Sigmoid,0.1765,0.0312,0.1765,0.0530,0.1765,0.0312,0.1765,0.0530,0.1765,0.8259,0.1765,0.0530
QDA,Linear,0.2624,0.8611,0.2624,0.3446,0.3092,0.8562,0.3092,0.3605,0.2714,0.8319,0.2714,0.3672
QDA,Polynomial,0.2198,0.8735,0.2190,0.3095,0.0158,0.0945,0.0158,0.0134,0.1222,0.9355,0.1222,0.1496
QDA,Cosine,0.7947,0.6316,0.7947,0.7038,0.7947,0.6316,0.7947,0.7038,0.7947,0.6316,0.7947,0.7038
Logistic Regression,RBF,0.7947,0.6316,0.7947,0.7038,0.7947,0.6316,0.7947,0.7038,0.7947,0.6316,0.7947,0.7038
Logistic Regression,Sigmoid,0.7947,0.6316,0.7947,0.7038,0.7947,0.6316,0.7947,0.7038,0.7947,0.6316,0.7947,0.7038
Logistic Regression,Linear,0.4431,0.7029,0.4431,0.4881,0.3736,0.7693,0.3736,0.4054,0.4438,0.6979,0.4438,0.4897
Logistic Regression,Polynomial,0.1766,0.8259,0.1766,0.0531,0.7947,0.6316,0.7947,0.7038,0.5844,0.7469,0.5844,0.6236
Logistic Regression,Cosine,0.7947,0.6316,0.7947,0.7038,0.7947,0.6316,0.7947,0.7038,0.7947,0.6316,0.7947,0.7038
Linear Regression,RBF,0.7947,0.6316,0.7947,0.7038,0.7947,0.6316,0.7947,0.7038,0.7947,0.6316,0.7947,0.7038
Linear Regression,Sigmoid,0.7947,0.6316,0.7947,0.7038,0.7947,0.6316,0.7947,0.7038,0.7947,0.6316,0.7947,0.7038
Linear Regression,Linear,0.8605,0.8716,0.8605,0.8589,0.7291,0.8782,0.7291,0.7827,0.6811,0.8510,0.6811,0.7261
Linear Regression,Polynomial,0.7947,0.6316,0.7947,0.7038,0.8336,0.8761,0.8336,0.8303,0.7912,0.8684,0.7912,0.8073
Linear Regression,Cosine,0.4663,0.7763,0.4663,0.5782,0.5030,0.7598,0.5030,0.6013,0.5289,0.7013,0.5289,0.6011
Neural Network,RBF,0.9056,0.9065,0.9056,0.8962,0.9096,0.9114,0.9096,0.9001,0.9098,0.9112,0.9098,0.9006
Neural Network,Sigmoid,0.7947,0.6316,0.7947,0.7038,0.7947,0.6316,0.7947,0.7038,0.7947,0.6316,0.7947,0.7038
Neural Network,Linear,0.8760,0.8483,0.8760,0.8554,0.8904,0.8798,0.8904,0.8731,0.7947,0.6316,0.7947,0.7038
Neural Network,Polynomial,0.9209,0.9009,0.9289,0.9094,0.9001,0.8882,0.9001,0.8893,0.9096,0.9007,0.9096,0.8984
Neural Network,Cosine,0.7947,0.6316,0.7947,0.7038,0.7947,0.6316,0.7947,0.7038,0.7947,0.6316,0.7947,0.7038
